NO,Notas,NIP,Nama Peserta,Nama Kantor Bayar,No Rekening,TMT Kredit,TAT Kredit,Tanggal Kejadian,Status
1,120000001,198001012006011001,ADI PRATAMA,BANK MANTAP CABANG BANDUNG,220100000001,03/01/2019,03/01/2029,14/10/2020,SUDAH OPEN FLAGGING
2,120000002,197905142005021002,SITI RAHMAWATI,BANK MANTAP CABANG SURABAYA,220100000002,15/02/2018,15/02/2028,21/10/2020,SUDAH OPEN FLAGGING
3,120000003,196812202003121003,BUDI SANTOSO,BANK MANTAP CABANG MEDAN,220100000003,20/03/2017,20/03/2027,05/11/2020,SUDAH OPEN FLAGGING
4,120000004,198406112010011004,NUR AINI,BANK MANTAP CABANG JAKARTA,220100000004,11/04/2020,11/04/2030,17/11/2020,SUDAH OPEN FLAGGING
5,120000005,197702082004031005,AGUS SETIAWAN,BANK MANTAP CABANG SEMARANG,220100000005,08/05/2019,08/05/2029,25/11/2020,SUDAH OPEN FLAGGING
6,120000006,198111172007041006,DEWI LESTARI,BANK MANTAP CABANG PALEMBANG,220100000006,17/06/2018,17/06/2028,02/12/2020,SUDAH OPEN FLAGGING
7,120000007,196911252002051007,HENDRA SAPUTRA,BANK MANTAP CABANG MAKASSAR,220100000007,25/07/2017,25/07/2027,09/12/2020,SUDAH OPEN FLAGGING
8,120000008,197604302006061008,LINDA WATI,BANK MANTAP CABANG BALIKPAPAN,220100000008,30/08/2019,30/08/2029,15/12/2020,SUDAH OPEN FLAGGING
9,120000009,198309092008071009,FAJAR HIDAYAT,BANK MANTAP CABANG DENPASAR,220100000009,09/09/2020,09/09/2030,22/12/2020,SUDAH OPEN FLAGGING
10,120000010,197101152001081010,RINA KURNIA,BANK MANTAP CABANG PADANG,220100000010,15/10/2018,15/10/2028,03/01/2021,SUDAH OPEN FLAGGING
11,120000011,198512212011091011,ARIF MAULANA,BANK MANTAP CABANG CIREBON,220100000011,21/11/2019,21/11/2029,11/01/2021,SUDAH OPEN FLAGGING
12,120000012,197811032005101012,MAYA SARI,BANK MANTAP CABANG JAMBI,220100000012,03/12/2017,03/12/2027,19/01/2021,SUDAH OPEN FLAGGING
13,120000013,196705182000111013,IRWAN HAKIM,BANK MANTAP CABANG KEDIRI,220100000013,18/01/2018,18/01/2028,27/01/2021,SUDAH OPEN FLAGGING
14,120000014,198207242009121014,PUTRI AMELIA,BANK MANTAP CABANG KUPANG,220100000014,24/02/2020,24/02/2030,04/02/2021,SUDAH OPEN FLAGGING
15,120000015,197603102004011015,RUDI HARTONO,BANK MANTAP CABANG SERANG,220100000015,10/03/2019,10/03/2029,12/02/2021,SUDAH OPEN FLAGGING
16,120000016,198004272006021016,YUNI ASTUTI,BANK MANTAP CABANG TASIKMALAYA,220100000016,27/04/2018,27/04/2028,20/02/2021,SUDAH OPEN FLAGGING
17,120000017,196902132002031017,DONI FIRMANSYAH,BANK MANTAP CABANG PEKANBARU,220100000017,13/05/2017,13/05/2027,28/02/2021,SUDAH OPEN FLAGGING
18,120000018,197910052005041018,ANI SUSANTI,BANK MANTAP CABANG PONTIANAK,220100000018,05/06/2019,05/06/2029,07/03/2021,SUDAH OPEN FLAGGING
